start_frame,start_s,end_frame,end_s,max_warm_plume_pixels
39,0.64990313174946,41,0.6832314974802016,846
43,0.7165598632109431,85,1.4164555435565156,6829
174,2.899567818574514,178,2.966224550035997,6058
221,3.6827844132469405,224,3.7327769618430526,542
226,3.7661053275737943,229,3.8160978761699065,654
235,3.916082973362131,264,4.399344276457883,8994
266,4.432672642188625,784,13.064719366450685,9323
787,13.114711915046797,838,13.964585241180707,6196
911,15.181070590352773,919,15.314384053275738,755
